Rating,User,Category,Age,Date,Review,Review_cate
5,유설아,가족여행으로 좋아요,20대,2024.09.21,처음 일본여행을 갔는데 친절하게 배려도 해주시고 설명도 잘해주셔서 잘다녀온것같아요~,"호텔이 관광지와 가까워요
객실 뷰가 좋아요
즐길 거리가 다양해요
현지 음식이 맛있어요
가이드가 배려 깊고 세심해요"
5,wjd*****,가족여행으로 좋아요,20대,2024.09.21,가족들과 함께한 첫 해외여행이라서 기대 반 설렘 반 이였던 여행이였습니다. 걱정했던 것과는 달리 일정도 굉장히 볼거리가 많았고 가이드님이 너무 친철하시고 설명도 잘해주셔서 너무 재밌었던 여행입니다. 저희 부모님 두분도 가이드님 마음에 드시고 다음 패키지때에도 함께 하고싶다고 하실 정도로 만족하셨습니다 윤정희 가이드님 !!! 2박 3일동안 즐겁게 여행하게 해주셔서 감사합니댱 ~~,"호텔 부대시설이 좋아요
일정이 알차요
즐길 거리가 다양해요
가이드가 전문적이에요
가이드가 열정적이에요"
5,msh**,가족여행으로 좋아요,30대,2024.09.19,너무 좋고 행복한 여행이였습니더,"객실이 깨끗해요
호텔에서 쉬기 좋아요
일정이 알차요
현지 음식이 맛있어요
현지 음식이 다양해요"
5,npu*****,가족여행으로 좋아요,50대,2024.09.19,"이번 추석 연휴에 가족들과 함께 다녀온 여행은 윤정희가이드님 덕분에 즐겁고 알찬 여행이 되었어요~ 일본 오사카와 교토에 다녀왔는데 ‘걸어서 세계속으로’의 새로운 경험이었어요~ 차로 오고 가는 시간 동안 알기 쉬운 윤상의 세계사와 일본사, 문화, 경제, 정치등의 설명은 귀에 쏙쏙 들어왔어요~ 일본을 이해하는데 많은 도움이 되었어요~ 감사해요~ 일본의 자연과 하늘도 넘 아름다웠어요~ 몸도 마음도 새롭게 충전이 되는 최고의 여행이었어요!!!","가격이 합리적이에요
가이드가 전문적이에요
일정이 알차요
호텔이 시내에 있어요
가이드가 열정적이에요"
5,yjj****,친구모임으로 좋아요,30대,2024.09.19,"9월에 찾아온 무더위에 체력적으로는 너무 힘들었지만 장성란 가이드님 덕분에 너무 즐겁게 여행하고 왔습니다! 친절하신것 뿐만 아니라 정말 여행에서 궁금하거, 필요한 걸 세심하게 설명해주셔서 3박4일 일정내내 일본을 즐길 수 있었습니다. 패키지 또한 자유일정이 넉넉하게 있어서 친구랑 둘이 먹고 싶은 것도 마음껏 먹고 쇼핑도 즐길 수 있어서 너무 만족한 일정이었습니다!! 습도는 높고 더운 기온에 가이드님도 지치실법도 한데 긍정적인 에너지로 이끌어 주시니 한국 도착까지 너무 감사했습니다!! 다음에 꼭 기회가 된다면 또 하나투어에서 뵙...","호텔이 관광지와 가까워요
일정이 여유로워요
현지 음식이 맛있어요
가격이 합리적이에요
가이드가 열정적이에요"
5,88h***,가족여행으로 좋아요,40대,2024.09.18,"전체일정이 좋았고, 가이드가 세심하고 전문적이어서 좋았습니다.","호텔이 관광지와 가까워요
일정이 여유로워요
현지 음식이 맛있어요
가이드가 전문적이에요
가이드가 배려 깊고 세심해요"
5,che****,가족여행으로 좋아요,30대,2024.09.18,추석연휴동안 오사카로 가족여행 다녀왔습니다. 가이드분 친절하셨고 가는 곳곳 설명을 잘해주셔서 좋았습니다. 처음 부모님과 함께하는 해외여행이였는데 다음에 또 여행 가고 싶다고 하시네요^^ 저희 아빠가 일본에 궁금한 점이 있어서 질문했는데 지나치지 않고 정말 정말 성심껏 대답해주셔서 감사합니다. 문쿤의 여행 뭉클했습니다!!! 하나투어는 문쿤있어 좋겠다~~문쿤 언제나 어디서든 모든곳이 큔큔월드~~~ 행복하세요^^,"일정이 알차요
가이드가 전문적이에요
가이드가 열정적이에요
가이드가 배려 깊고 세심해요
가이드가 재밌어요"
5,jin*****,가족여행으로 좋아요,40대,2024.09.14,딸들과의 첫 일본여행!!! 걱정반 설레임반으로 처음 패키지여행 선택이였지만 이진하가이드님 덕분에 진짜 편안하게 놀다 왔습니다. 궁금했던거 한번에 해결해주시고 문의하면 바로바로 답변해주시고 생각지 못했던 부분은 미리 알고 따라락 안내해 주시고 이진하가이드님이랑 함께하면 일본 어디든 편안하게 갈수 있을거 같아요. 다음에도 딸들과 일본여행은 이진하가이드님과 함께 가려구요 벌써 검색중이네요^^ 저처럼 고민중인 분들 있으시다면 진짜 패키지 이진하가이드님과 함께해보세요!! 진짜 강추입니다!!!!,"객실이 깨끗해요
일정이 알차요
가격이 합리적이에요
가이드가 전문적이에요
가이드가 배려 깊고 세심해요"
5,wnw***,가족여행으로 좋아요,30대,2024.09.01,"오랜만에 가족여행이라 설렘을 갖고 알아보다 하나투어를 선택하게 되었는데 너무 잘한 선택이라고 생각되네요. 일본이라 자유여행으로 갈까도 싶었지만 5,60대인 부모님을 생각해 패키지로 했는데 아주 잘한 선택이었습니다. 저희 가족 구성원은 20대, 30대, 50대, 60대인데 이 패키지 구성은 모든 세대를 아우르고 만족할 수 있는 구성이라고 생각합니다. 저희는 패키지 구성을 통해서 일본에서 꼭 가야할 선사 등 관광명소를 체험할 수 있었고 자유여행을 통해 유니버셜을 가게되어 정말 알찬 여행을 보내고 왔습니다. 사실 제일 걱정이었던 부분이 ...","가이드가 전문적이에요
가이드가 열정적이에요
가이드가 배려 깊고 세심해요
가이드가 재밌어요"
5,kjy****,가족여행으로 좋아요,50대,2024.08.30,장경익 가이드님 덕분에 즐거운 여행 이었습니다 일본 역사와 문화 장소 때마다 설명해 주시니 풍성한 여행 이었고 재미도 더해 주셔서 다니는동안 즐거웠습니다~ 가이드님과 하나투어 최고입니다,"객실이 깨끗해요
일정이 알차요
현지 음식이 맛있어요
가격이 합리적이에요
가이드가 전문적이에요"
5,840**,가족여행으로 좋아요,40대,2024.08.29,"결론부터 말하자면 일본여행은 하나투어 송재혁가이드님과 가세요 아니 두번가세요 세번가세요 젋고 자상하고 트랜디한 일본여행을 원하신다면 자신있게 추천합니다. 엄마, 초등학교 4학년 조카, 이렇게 셋이 함께하는 자유일정이 섞인 첫 일본여행이라 설레임보다는 걱정이 많이 앞선 여행이였습니다. 교토일정까지는 가이드님이 함께해서 큰 걱정이 없었는데 당장 이틀째 저녁부터는 밥먹는거부터 다음날 일정까지 알아서 움직여야 했기에 파워P인 저에겐 정말 막막했죠 더군다나 저는 구글맵도 방향을 잘 못보는 이상한 병?을 가지고 있어서🙄 암튼 제가 안움...","호텔이 시내에 있어요
일정이 여유로워요
현지 음식이 다양해요
가격이 합리적이에요
가이드가 열정적이에요"
4,kem****,가족여행으로 좋아요,40대,2024.08.28,재미있게 잘 다녀왔어요 ㅎㅎ 날씨는 더웠지만요 가이드분 설명이 자세해서 좋았어요 ㅎ,"호텔이 시내에 있어요
가이드가 전문적이에요"
5,jes******,가족여행으로 좋아요,40대,2024.08.28,너무 너무 즐거운 여행이였습니다 하나투어에 감사합니다^^,"객실이 깨끗해요
일정이 알차요
현지 음식이 맛있어요
가격이 합리적이에요
가이드가 전문적이에요"
5,덕순이가제일이다,가족여행으로 좋아요,20대,2024.08.27,패키지에 빌런이 있었지만 나름 가이드님이 케어해주신 덕분에 여행을 잘 마무리할 수 있었습니다. 일정이 너무 알차서 호텔에 들어오면 바로 씻고 누워서 자도 피곤이 덜 풀리지만 하루하루 알찬 일정덕분에 돈 쓰길 잘했다는 생각이 들었습니다. 호텔 근처에 큰 편의점과 드럭스토어가 있어서 밤에 뭘 먹기 좋아서 덕분에 힘들었지만 살이 토실토실 쪄서 왔답니다:) 너무 더운 날씨에도 가이드님이 친절하게 설명해주시고 일본 역사에 대해서도 조금(?) 알거 같다는 느낌이 듭니다. 이색적인 분위기와 현지 덕분에 현생을 다시 재충전해서 잘 지낼 수 있을거...,"현지 음식이 맛있어요
식당이 청결해요
가격이 합리적이에요
가이드가 전문적이에요
가이드가 열정적이에요"
5,bsn****,친구모임으로 좋아요,40대,2024.08.19,안녕하세요 연일 뉴스 및 인터넷기사에서 일본 지진 경고로 여행을 취소할까 말까 걱정을 많이 했었는데요 김미림가이드님께서 오사카는 안전한 곳이라서 안심하셔도 된다고 하셔서 믿고 취소를 안했습니다 역쉬~~~ 취소했으면 큰일날뻔 했네요 여행내내 김미림가이드님께서 일본 역사 및 관광지에 관련 설명을 꼼꼼치 알려주시고 일정도 자세히 설명 체크해 주시고 멋찐 인생껏 사진도 일행 한사람 한사람 챙겨주시고 처음부터 끝까지 친절하게 안내해 주셔서 여행내내 즐겁고 행복한 시간이 되었습니다 다시 기회가 된다면 오사카 또 오고 싶네요,"객실이 깨끗해요
일정이 알차요
현지 음식이 맛있어요
가격이 합리적이에요
가이드가 전문적이에요"
5,hen******,가족여행으로 좋아요,40대,2024.08.19,사춘기 아들과 패키지여행 다녀왔는데 같은팀들 너무 좋으신분들과 돟으신 가이드분 함께 즐거운 여행이였습니다,"호텔이 관광지와 가까워요
호텔이 시내에 있어요
일정이 알차요
현지 음식이 맛있어요
가격이 합리적이에요"
5,pan****,가족여행으로 좋아요,20대,2024.08.18,힘든 날씨에도 좋은 구경을 할 수 있어서 좋았습니다. 특히 김금희 가이드님께서 버스 이동 중에도 지루하지 않게 투어 가는 곳에 대한 정보와 역사를 잘 설명해 주셔서 좋았습니다.,"호텔에서 쉬기 좋아요
객실이 깨끗해요
일정이 알차요
가이드가 전문적이에요
가이드가 열정적이에요"
